tarefa,metrica,par,U,p_raw,p_bonferroni,sig_adj
T1,RAM,cpp vs python,0.0,0.0,0.0,True
T1,RAM,cpp vs electron,0.0,0.0,0.0,True
T1,RAM,python vs electron,0.0,0.0,0.0,True
T1,CPU,cpp vs python,0.0,0.0,0.0,True
T1,CPU,cpp vs electron,0.0,0.0,0.0,True
T1,CPU,python vs electron,0.0,0.0,0.0,True
T1,Latencia,cpp vs python,0.0,0.0,0.0,True
T1,Latencia,cpp vs electron,0.0,0.0,0.0,True
T1,Latencia,python vs electron,0.0,0.0,0.0,True
T2,RAM,cpp vs python,0.0,0.0,0.0,True
T2,RAM,cpp vs electron,0.0,0.0,0.0,True
T2,RAM,python vs electron,0.0,0.0,0.0,True
T2,CPU,cpp vs python,0.0,0.0,0.0,True
T2,CPU,cpp vs electron,0.0,0.0,0.0,True
T2,CPU,python vs electron,0.0,0.0,0.0,True
T2,Latencia,cpp vs python,0.0,0.0,0.0,True
T2,Latencia,cpp vs electron,0.0,0.0,0.0,True
T2,Latencia,python vs electron,0.0,0.0,0.0,True
T3,RAM,cpp vs python,0.0,0.0,0.0,True
T3,RAM,cpp vs electron,0.0,0.0,0.0,True
T3,RAM,python vs electron,0.0,0.0,0.0,True
T3,CPU,cpp vs python,0.0,0.0,0.0,True
T3,CPU,cpp vs electron,0.0,0.0,0.0,True
T3,CPU,python vs electron,0.0,0.0,0.0,True
T3,Latencia,cpp vs python,0.0,0.0,0.0,True
T3,Latencia,cpp vs electron,0.0,0.0,0.0,True
T3,Latencia,python vs electron,0.0,0.0,0.0,True
